날짜와 시간,로그 레벨,화성 기지 내부 온도(°C),화성 기지 외부 온도(°C),화성 기지 내부 습도(%),화성 기지 외부 광량(W/m²),화성 기지 내부 이산화탄소 농도(%),화성 기지 내부 산소 농도(%)
2026-04-06 21:29:11,INFO,23.36,11.88,57.14,648.19,0.06,4.48
2026-04-06 21:29:11,INFO,27.1,15.24,51.27,578.06,0.04,4.04
2026-04-06 21:29:16,INFO,25.15,13.54,55.77,684.13,0.09,5.62
2026-04-06 21:29:21,INFO,26.07,15.7,54.72,650.74,0.1,5.93
2026-04-06 21:35:40,INFO,24.18,19.76,50.06,591.72,0.06,5.38
2026-04-06 21:35:40,INFO,20.63,8.63,50.66,640.37,0.07,5.57
2026-04-06 21:35:45,INFO,22.78,5.4,54.45,539.42,0.06,6.08
2026-04-06 21:35:50,INFO,29.1,7.94,55.43,532.54,0.06,4.49
2026-04-07 19:07:57,INFO,25.83,7.01,52.89,595.08,0.08,6.57
2026-04-07 19:07:57,INFO,25.94,15.15,55.36,617.15,0.07,6.0
2026-04-07 19:08:02,INFO,19.9,6.91,59.18,502.97,0.02,4.91
2026-04-07 19:08:07,INFO,25.82,14.69,51.23,583.44,0.02,6.15
2026-04-07 19:08:12,INFO,19.45,13.26,55.67,637.82,0.05,5.1
